2025-06-15 00:00:09 | INFO  | service=notifications   | latency_ms=59    | status=ok
2025-06-15 00:00:34 | INFO  | service=payments        | latency_ms=191   | status=ok
2025-06-15 00:02:22 | INFO  | service=payments        | latency_ms=238   | status=ok
2025-06-15 00:05:20 | INFO  | service=notifications   | latency_ms=80    | status=ok
??? | ERROR | service=??? | latency_ms=NaN |
2025-06-15 00:06:54 | INFO  | service=auth            | latency_ms=72    | status=ok
2025-06-15 00:08:38 | INFO  | service=auth            | latency_ms=72    | status=ok
2025-06-15 00:08:48 | INFO | broken
2025-06-15 00:09:00 | INFO  | service=auth            | latency_ms=127   | status=ok
2025-06-15 00:10:02 | INFO  | service=auth            | latency_ms=103   | status=ok
2025-06-15 00:11:34 | INFO  | service=payments        | latency_ms=171   | status=ok
2025-06-15 00:14:43 | INFO  | service=auth            | latency_ms=96    | status=ok
2025-06-15 00:15:56 | INFO  | service=auth            | latency_ms=66    | status=ok
2025-06-15 00:18:15 | INFO  | service=auth            | latency_ms=66    | status=ok
2025-06-15 00:20:23 | INFO  | service=auth            | latency_ms=87    | status=ok
2025-06-15 00:21:05 | INFO  | service=auth            | latency_ms=22    | status=ok
2025-06-15 00:21:44 | INFO  | service=payments        | latency_ms=96    | status=ok
2025-06-15 00:22:05 | INFO  | service=notifications   | latency_ms=38    | status=ok
2025-06-15 00:22:29 | INFO  | service=notifications   | latency_ms=29    | status=ok
2025-06-15 00:24:59 | INFO  | service=auth            | latency_ms=89    | status=ok
2025-06-15 00:25:38 | INFO  | service=notifications   | latency_ms=31    | status=ok
2025-06-15 00:26:44 | INFO  | service=payments        | latency_ms=115   | status=ok
2025-06-15 00:27:35 | INFO  | service=auth            | latency_ms=123   | status=ok
2025-06-15 00:27:48 | INFO  | service=payments        | latency_ms=186   | status=ok
2025-06-15 00:28:13 | INFO  | service=notifications   | latency_ms=51    | status=ok
2025-06-15 00:31:33 | INFO  | service=payments        | latency_ms=114   | status=ok
2025-06-15 00:32:22 | WARN  | service=notifications   | latency_ms=39    | status=retry
2025-06-15 00:33:09 | INFO  | service=payments        | latency_ms=206   | status=ok
2025-06-15 00:33:18 | INFO  | service=payments        | latency_ms=130   | status=ok
2025-06-15 00:33:32 | INFO  | service=auth            | latency_ms=91    | status=ok
2025-06-15 00:34:42 | ERROR | service=notifications   | latency_ms=147   | status=error
2025-06-15 00:36:37 | INFO  | service=notifications   | latency_ms=44    | status=ok
2025-06-15 00:36:51 | INFO  | service=payments        | latency_ms=163   | status=ok
2025-06-15 00:38:43 | INFO  | service=notifications   | latency_ms=87    | status=ok
2025-06-15 00:43:03 | INFO  | service=payments        | latency_ms=199   | status=ok
2025-06-15 00:48:15 | INFO  | service=notifications   | latency_ms=28    | status=ok
2025-06-15 00:50:41 | INFO  | service=payments        | latency_ms=249   | status=ok
2025-06-15 00:52:31 | INFO  | service=payments        | latency_ms=126   | status=ok
2025-06-15 00:54:57 | INFO  | service=auth            | latency_ms=86    | status=ok
2025-06-15 00:55:32 | INFO  | service=payments        | latency_ms=82    | status=ok
2025-06-15 00:55:35 | WARN  | service=notifications   | latency_ms=23    | status=retry
2025-06-15 00:56:12 | INFO  | service=auth            | latency_ms=85    | status=ok
2025-06-15 00:56:59 | INFO  | service=notifications   | latency_ms=64    | status=ok
2025-06-15 00:58:07 | INFO  | service=notifications   | latency_ms=53    | status=ok
2025-06-15 00:59:35 | INFO  | service=notifications   | latency_ms=47    | status=ok
2025-06-15 01:02:34 | INFO  | service=payments        | latency_ms=181   | status=ok
2025-06-15 01:04:15 | INFO  | service=auth            | latency_ms=35    | status=ok
2025-06-15 01:05:16 | INFO  | service=payments        | latency_ms=156   | status=ok
2025-06-15 01:05:18 | INFO  | service=notifications   | latency_ms=40    | status=ok
2025-06-15 01:05:35 | INFO  | service=payments        | latency_ms=263   | status=ok
2025-06-15 01:05:43 | INFO  | service=auth            | latency_ms=90    | status=ok
2025-06-15 01:05:49 | WARN  | service=auth            | latency_ms=27    | status=retry
2025-06-15 01:07:16 | INFO  | service=auth            | latency_ms=89    | status=ok
2025-06-15 01:08:07 | INFO  | service=payments        | latency_ms=176   | status=ok
2025-06-15 01:08:43 | INFO  | service=auth            | latency_ms=59    | status=ok
2025-06-15 01:08:56 | INFO  | service=payments        | latency_ms=236   | status=ok
2025-06-15 01:10:03 | INFO  | service=notifications   | latency_ms=70    | status=ok
2025-06-15 01:10:32 | INFO  | service=auth            | latency_ms=107   | status=ok
2025-06-15 01:10:57 | INFO  | service=payments        | latency_ms=149   | status=ok
2025-06-15 01:11:04 | INFO  | service=payments        | latency_ms=181   | status=ok
2025-06-15 01:11:05 | INFO  | service=auth            | latency_ms=89    | status=ok
2025-06-15 01:11:50 | ERROR | service=payments        | latency_ms=533   | status=timeout
2025-06-15 01:14:04 | INFO  | service=notifications   | latency_ms=40    | status=ok
2025-06-15 01:15:20 | INFO  | service=auth            | latency_ms=74    | status=ok
2025-06-15 01:18:57 | INFO  | service=payments        | latency_ms=133   | status=ok
2025-06-15 01:19:23 | INFO  | service=notifications   | latency_ms=26    | status=ok
2025-06-15 01:22:24 | INFO  | service=auth            | latency_ms=104   | status=ok
2025-06-15 01:22:55 | INFO  | service=payments        | latency_ms=281   | status=ok
2025-06-15 01:23:26 | WARN  | service=notifications   | latency_ms=48    | status=retry
2025-06-15 01:24:13 | INFO  | service=auth            | latency_ms=110   | status=ok
2025-06-15 01:24:44 | ERROR | service=payments        | latency_ms=552   | status=timeout
2025-06-15 01:26:57 | INFO  | service=payments        | latency_ms=161   | status=ok
2025-06-15 01:26:58 | INFO  | service=payments        | latency_ms=221   | status=ok
2025-06-15 01:30:30 | INFO  | service=auth            | latency_ms=126   | status=ok
2025-06-15 01:30:54 | INFO  | service=notifications   | latency_ms=49    | status=ok
2025-06-15 01:33:53 | INFO  | service=auth            | latency_ms=126   | status=ok
2025-06-15 01:34:35 | INFO  | service=notifications   | latency_ms=1     | status=ok
2025-06-15 01:34:42 | INFO  | service=auth            | latency_ms=104   | status=ok
2025-06-15 01:35:44 | INFO  | service=auth            | latency_ms=82    | status=ok
2025-06-15 01:38:30 | INFO  | service=notifications   | latency_ms=44    | status=ok
2025-06-15 01:39:19 | INFO  | service=auth            | latency_ms=82    | status=ok
2025-06-15 01:40:55 | INFO  | service=payments        | latency_ms=80    | status=ok
2025-06-15 01:41:15 | INFO  | service=notifications   | latency_ms=45    | status=ok
2025-06-15 01:42:19 | WARN  | service=auth            | latency_ms=90    | status=retry
2025-06-15 01:42:41 | INFO  | service=payments        | latency_ms=288   | status=ok
2025-06-15 01:43:02 | INFO  | service=payments        | latency_ms=168   | status=ok
2025-06-15 01:46:42 | INFO  | service=payments        | latency_ms=151   | status=ok
2025-06-15 01:47:59 | INFO  | service=auth            | latency_ms=64    | status=ok
2025-06-15 01:49:53 | INFO  | service=payments        | latency_ms=254   | status=ok
2025-06-15 01:50:57 | INFO  | service=notifications   | latency_ms=56    | status=ok
2025-06-15 01:51:20 | INFO  | service=payments        | latency_ms=168   | status=ok
2025-06-15 01:52:38 | INFO  | service=payments        | latency_ms=230   | status=ok
2025-06-15 01:54:41 | INFO  | service=auth            | latency_ms=82    | status=ok
2025-06-15 01:57:15 | INFO  | service=payments        | latency_ms=258   | status=ok
2025-06-15 01:59:15 | CORRUPTED LINE |||
2025-06-15 02:00:52 | INFO  | service=auth            | latency_ms=58    | status=ok
2025-06-15 02:02:25 | INFO  | service=auth            | latency_ms=70    | status=ok
2025-06-15 02:05:53 | INFO  | service=notifications   | latency_ms=42    | status=ok
2025-06-15 02:06:28 | INFO  | service=payments        | latency_ms=112   | status=ok
2025-06-15 02:07:40 | INFO  | service=payments        | latency_ms=217   | status=ok
2025-06-15 02:07:50 | INFO  | service=notifications   | latency_ms=55    | status=ok
2025-06-15 02:08:02 | WARN  | service=auth            | latency_ms=80    | status=retry
2025-06-15 02:08:08 | INFO  | service=notifications   | latency_ms=45    | status=ok
